ts	elapsed	rss_kb	threads	fds	tcp_est	crawled_bytes	discovered_bytes	disk_free_mb	rss_kb_0	rss_kb_1
1789624991	2158	3913656	201	91156	15107	3229624	54422538	91908	1909184	2004472
1789625022	2189	3915444	201	91680	15124	3254366	55166238	91882	1925048	1990396
1789625052	2219	3976840	201	91095	14686	3314326	55654168	91868	1969188	2007652
1789625083	2250	3966072	201	89422	14121	3374666	56318819	91879	1935584	2030488
1789625114	2281	3987420	201	90180	15153	3374666	56678750	91873	1967164	2020256
1789625144	2311	4028604	201	91429	14781	3437032	57261065	91852	1948364	2080240
1789625174	2341	4003396	201	89514	13052	3497497	57930512	91845	1939688	2063708
1789625205	2372	3987568	201	92137	15324	3547176	58543417	91831	1937984	2049584
1789625235	2402	4032732	201	92411	14955	3599091	59310828	91823	1969616	2063116
1789625266	2433	4047512	201	91525	15902	3623698	59844971	91810	1985716	2061796
1789625296	2463	4062104	201	91833	15888	3686819	60626085	91793	1984472	2077632
1789625326	2493	4091692	201	91311	15598	3749831	61293296	91781	2000252	2091440
1789625357	2524	4125404	201	91231	15762	3810777	61897387	91772	1979884	2145520
1789625387	2554	4072996	201	90880	15549	3847370	62484909	91773	1967804	2105192
1789625418	2585	4094424	201	92198	16042	3896154	62971584	91761	1990156	2104268
1789625448	2615	4090296	201	92309	16471	3964970	63423507	91757	1978188	2112108
1789625478	2645	4113504	201	91531	15480	3989255	63947107	91747	1978088	2135416
1789625509	2676	4119896	201	91133	14623	4082556	64435312	91736	1986076	2133820
1789625539	2706	4094828	201	90989	15358	4082556	64934467	91724	1990980	2103848
1789625569	2736	4096060	201	90973	15265	4131937	65526024	91715	1983392	2112668
1789625600	2767	4137764	201	91184	14723	4209548	66141755	91701	1980468	2157296
1789625630	2797	4163704	201	91099	14340	4258883	66746990	91677	1990240	2173464
1789625661	2828	4153704	201	90424	13563	4321542	67403378	91673	1993228	2160476
1789625691	2858	4175200	201	90694	14272	4336382	67805809	91654	1997168	2178032
1789625722	2889	4171472	201	90517	13861	4385458	68443779	91625	2000136	2171336
1789625752	2919	4156120	201	90462	13752	4448898	68932497	91622	1994600	2161520
1789625782	2949	4154692	201	89378	12939	4462747	69571782	91604	2005200	2149492
1789625813	2980	4151888	201	90377	13930	4512655	69979528	91588	2002284	2149604
1789625843	3010	4207392	201	91221	15360	4588311	70561516	91565	2009404	2197988
1789625873	3040	4183464	201	91208	14227	4637636	71299760	91538	2029064	2154400
1789625904	3071	4201636	201	91440	14871	4677993	71784878	91523	2037236	2164400
1789625934	3101	4208804	201	90442	16111	4716048	72235677	91518	2024524	2184280
1789625965	3132	4186424	201	91362	16224	4765061	72833580	91504	2020964	2165460
1789625995	3162	4251716	201	92574	16964	4842571	73212709	91491	2077716	2174000
1789626026	3193	4219252	201	90370	16246	4866569	73876955	91495	2051272	2167980
1789626056	3223	4216812	201	91965	15844	4926895	74353531	91478	2042568	2174244
1789626086	3253	4227020	201	92138	15078	4987323	74787516	91473	2054048	2172972
1789626117	3284	4229676	201	90979	15946	5011852	75174707	91475	2042356	2187320
1789626147	3314	4239196	201	91522	15458	5086511	75654132	91461	2050824	2188372
1789626177	3344	4211264	201	91002	13574	5136111	76244842	91458	2042244	2169020
1789626208	3375	4213192	201	91255	14226	5176603	76641380	91452	2048712	2164480
1789626238	3405	4214712	201	90065	13515	5218035	77325536	91439	2048604	2166108
1789626269	3436	4251740	201	90388	13387	5267077	77953175	91429	2046440	2205300
1789626299	3466	4196524	201	90694	13249	5345962	78684047	91422	2039540	2156984
1789626329	3496	4216972	201	91059	14705	5345962	79129914	91413	2034448	2182524
1789626360	3527	4213328	201	89491	13853	5395444	79675463	91410	2040496	2172832
1789626390	3557	4224520	201	91157	14757	5474520	80153590	91405	2052664	2171856
1789626421	3588	4222500	201	90985	14354	5499456	80778255	91383	2062040	2160460
1789626451	3618	4209776	201	90137	14762	5564692	81265671	91383	2048404	2161372
1789626481	3648	4249920	201	92288	16034	5604819	81749812	91369	2051816	2198104
1789626512	3679	4219824	201	93213	16233	5678887	82297273	91357	2054360	2165464
1789626542	3709	4227592	201	92811	16038	5737992	82769538	91347	2062860	2164732
1789626573	3740	4245408	201	92591	16822	5787059	83211373	91331	2073280	2172128
1789626603	3770	4287728	201	92101	16116	5851556	83639659	91317	2080928	2206800
1789626634	3801	4251008	201	91685	15879	5893953	84213187	91303	2065680	2185328
1789626664	3831	4248052	201	92681	17026	5959553	84756220	91278	2058260	2189792
1789626694	3861	4237280	201	91710	15542	6020524	85456117	91260	2048060	2189220
1789626725	3892	4236556	201	92084	15807	6045286	85948106	91234	2065320	2171236
1789626755	3922	4222568	201	91595	16265	6119541	86471687	91218	2060260	2162308
1789626786	3953	4246652	201	90744	15562	6168522	86986317	91210	2063344	2183308
1789626816	3983	4206204	201	91496	15465	6247223	87579036	91185	2043104	2163100
1789626846	4013	4205264	201	91746	16037	6296795	88169068	91177	2042228	2163036
1789626877	4044	4264124	201	92235	16213	6364788	88601991	91162	2117064	2147060
1789626907	4074	4201440	201	92118	16248	6407800	89285466	91151	2047164	2154276
1789626938	4105	4238896	201	92512	15836	6457332	89866337	91143	2087172	2151724
1789626968	4135	4261760	201	92630	16147	6514560	90489874	91140	2093048	2168712
1789626998	4165	4220184	201	92131	16716	6588358	91169468	91130	2065964	2154220
1789627029	4196	4210832	201	91673	15811	6645861	91932282	91120	2050252	2160580
1789627059	4226	4245696	201	92004	15676	6695473	92531760	91105	2080672	2165024
1789627090	4257	4232008	201	91310	16157	6763635	93187877	91106	2074788	2157220
1789627120	4287	4230364	201	89643	15155	6805166	93946875	91178	2070192	2160172
1789627151	4318	4187980	201	91463	17033	6873451	94378538	91178	2044924	2143056
1789627181	4348	4218596	201	90849	17791	6914826	94879368	91176	2050468	2168128
1789627212	4379	4210276	201	91487	17519	6963376	95358922	91176	2059000	2151276
1789627242	4409	4223124	201	91244	17509	7049125	95996819	91175	2064612	2158512
1789627272	4439	4233980	201	91630	18497	7122559	96417175	91181	2052404	2181576
1789627303	4470	4256324	201	91891	17106	7180206	97054549	91179	2100428	2155896
