ts	elapsed	rss_kb	threads	fds	tcp_est	crawled_bytes	discovered_bytes	disk_free_mb	rss_kb_0	rss_kb_1
1789783674	0	110864	1	4	3	261781124	1899748226	84529	49940	60924
1789783705	31	737248	1	17850	3	261781124	1899748226	84527	369232	368016
1789783735	61	776060	1	35345	3	261781124	1899748226	84527	388580	387480
1789783767	93	808160	1	49260	3	261781124	1899748226	84527	404604	403556
1789783797	123	1382200	119	58210	5896	261781124	1899778296	84553	692852	689348
1789783828	154	1785900	119	59788	5549	261852913	1900568483	84530	870344	915556
1789783858	184	1955232	179	63015	11106	261907551	1901123533	84590	1011280	943952
1789783889	215	1965336	186	62908	9842	261985394	1902104964	84579	991760	973576
1789783919	245	2419868	201	66146	14950	262062314	1902503904	84571	1239076	1180792
1789783949	275	2260524	201	68145	16212	262140439	1903280324	84565	1138928	1121596
1789783980	306	2631948	201	69650	18567	262221687	1903831388	84553	1324928	1307020
1789784010	336	2584508	201	71221	22717	262275736	1904530117	84546	1344968	1239540
1789784041	367	2700780	201	69412	18699	262380835	1905281308	84536	1341204	1359576
1789784071	397	3060924	201	72265	23082	262380835	1905718102	84530	1606460	1454464
1789784102	428	2989660	201	72917	20557	262483302	1906589718	84512	1517040	1472620
1789784132	458	2992444	201	74337	22420	262534902	1907183114	84492	1546048	1446396
1789784163	489	3015340	201	74059	19724	262612724	1907847036	84484	1524508	1490832
1789784193	519	3027712	201	74087	21263	262665811	1908375141	84478	1524256	1503456
1789784223	549	3048856	201	74798	19300	262745033	1909079894	84465	1543832	1505024
1789784254	580	3225312	201	73166	21599	262793395	1909519945	84473	1552008	1673304
1789784284	610	3213940	201	74902	20773	262900525	1910253040	84456	1562960	1650980
1789784315	641	3312484	201	74519	18517	262981253	1910992097	84440	1621584	1690900
1789784345	671	3285968	201	73978	18679	263030959	1911424400	84452	1638524	1647444
1789784375	701	3330032	201	74710	18702	263110043	1912027404	84440	1670036	1659996
1789784406	732	3269484	201	74915	18995	263190882	1912667190	84439	1628984	1640500
1789784436	762	3301728	201	74109	17688	263276948	1913251296	84432	1631548	1670180
1789784467	793	3319844	201	74125	18678	263326239	1913843833	84420	1653796	1666048
1789784497	823	3341956	201	74077	16514	263428464	1914478028	84421	1666040	1675916
1789784527	853	3326628	201	74915	18430	263506825	1914927931	84415	1643420	1683208
1789784558	884	3337104	201	72457	16650	263594582	1915574550	84406	1667648	1669456
1789784588	914	3403520	201	74121	19407	263643591	1916081683	84390	1671032	1732488
1789784619	945	3402652	201	74422	18248	263724930	1916646211	84374	1720944	1681708
1789784649	975	3362756	201	74797	19496	263780163	1917125556	84368	1676060	1686696
1789784679	1005	3401440	201	74376	16725	263883003	1917830678	84370	1695364	1706076
1789784710	1036	3427408	201	77337	19275	263937261	1918183076	84340	1685688	1741720
1789784740	1066	3460320	201	77757	17294	264041680	1918823492	84317	1744316	1716004
1789784771	1097	3474212	201	78053	17598	264098961	1919278703	84318	1748876	1725336
1789784802	1128	3561244	201	78512	18728	264177896	1919830996	84308	1772864	1788380
1789784832	1158	3498376	201	75883	17193	264258220	1920236932	84319	1743608	1754768
1789784863	1189	3494564	201	75520	15141	264282214	1920532274	84323	1742608	1751956
1789784893	1219	3497704	201	75383	14447	264330765	1920729919	84327	1751792	1745912
1789784924	1250	3490644	201	73244	14722	264363431	1921004581	84347	1744724	1745920
1789784955	1281	3491176	201	71795	11307	264416819	1921316587	84345	1744688	1746488
1789784985	1311	3514740	201	72430	12793	264465731	1921720441	84340	1761224	1753516
1789785016	1342	3499896	201	72169	13638	264520309	1922090802	84351	1750900	1748996
1789785046	1372	3552320	201	71745	12596	264575022	1922622307	84348	1743300	1809020
1789785077	1403	3531172	201	72700	14018	264676311	1923060928	84345	1747668	1783504
1789785107	1433	3560000	201	73522	14962	264729450	1923630273	84345	1790368	1769632
1789785138	1464	3542068	201	73115	15811	264832430	1924097483	84354	1755068	1787000
1789785168	1494	3570764	201	73535	15916	264889844	1924568621	84366	1760764	1810000
1789785199	1525	3586392	201	74456	15683	264973409	1925162187	84366	1778240	1808152
1789785229	1555	3576304	201	74284	17762	264997798	1925710918	84375	1768148	1808156
1789785260	1586	3600984	201	74130	16471	265100570	1926287328	84365	1771060	1829924
1789785290	1616	3608684	201	73651	17615	265155292	1926729879	84373	1782964	1825720
1789785320	1646	3660496	201	73586	16391	265210324	1927122083	84367	1793680	1866816
1789785351	1677	3659972	201	72075	14433	265258557	1927417464	84373	1796144	1863828
1789785382	1708	3708336	201	72255	14386	265289993	1927585836	84358	1794900	1913436
1789785413	1739	3732540	201	71209	13256	265314346	1927870735	84359	1798876	1933664
1789785444	1770	3673584	201	70090	13461	265338907	1928058723	84358	1789656	1883928
1789785475	1801	3659072	201	68234	10045	265392574	1928229381	84408	1789656	1869416
1789785506	1832	3648072	201	67548	9945	265392574	1928266476	84402	1784696	1863376
1789785537	1863	3675556	201	66667	7186	265421161	1928497731	84407	1812116	1863440
1789785568	1894	3647180	201	64937	7097	265469838	1928605374	84412	1783692	1863488
1789785599	1925	3642712	201	64899	6624	265469838	1928714066	84397	1781428	1861284
1789785630	1956	3624472	201	64635	7145	265543117	1928948311	84393	1770688	1853784
1789785661	1987	3623932	201	63597	7190	265576875	1929092307	84395	1770384	1853548
1789785692	2018	3627784	201	64473	7551	265600980	1929332978	84394	1775236	1852548
1789785723	2049	3635368	201	64967	7983	265625529	1929542253	84394	1785280	1850088
1789785753	2079	3634224	201	63217	7288	265649998	1929751172	84403	1784224	1850000
1789785784	2110	3638332	201	64063	8977	265705000	1929938042	84411	1786496	1851836
1789785815	2141	3625996	201	64284	7537	265731036	1930165136	84410	1779384	1846612
1789785846	2172	3622564	201	63314	8414	265755648	1930363156	84422	1777728	1844836
1789785877	2203	3630256	201	63050	7469	265780006	1930501250	84425	1781724	1848532
1789785908	2234	3629636	201	62011	7659	265804363	1930622638	84440	1780312	1849324
1789785939	2265	3626996	201	60453	7478	265804363	1930778946	84457	1777684	1849312
1789785971	2297	3618904	201	58683	6029	265861188	1930884968	84468	1774500	1844404
1789786001	2327	3617812	201	59930	6772	265861188	1930986071	84471	1771280	1846532
1789786033	2359	3611784	201	58861	6503	265888643	1931197234	84477	1770936	1840848
1789786064	2390	3617280	201	59267	7273	265913014	1931284957	84485	1774416	1842864
1789786095	2421	3632888	201	58111	6958	265937318	1931440102	84483	1781932	1850956
1789786125	2451	3633800	201	58587	8742	265961868	1931579191	84487	1782532	1851268
1789786156	2482	3659548	201	58547	7438	265990821	1931700583	84488	1782548	1877000
1789786187	2513	3619756	201	59073	8386	266014951	1931824350	84484	1768340	1851416
1789786218	2544	3619900	201	59565	9914	266039382	1931940377	84489	1768364	1851536
1789786248	2574	3619924	201	58793	9010	266065407	1932094832	84487	1768388	1851536
1789786279	2605	3619924	201	58760	9312	266089754	1932195136	84489	1768388	1851536
1789786310	2636	3619964	201	58673	10004	266113786	1932317233	84488	1768404	1851560
1789786340	2666	3618944	201	59213	10933	266165773	1932724517	84476	1767384	1851560
1789786371	2697	3618976	201	59921	12902	266219735	1933134090	84463	1767412	1851564
1789786401	2727	3617036	201	59481	12938	266296364	1933598666	84447	1766448	1850588
1789786432	2758	3612980	201	61579	14171	266373382	1933947168	84449	1766472	1846508
1789786462	2788	3612996	201	62735	14804	266451384	1934390702	84426	1766472	1846524
1789786492	2818	3613016	201	62884	17168	266500112	1934821849	84421	1766492	1846524
1789786523	2849	3613016	201	64782	19391	266552102	1935288635	84409	1766492	1846524
1789786553	2879	3612108	201	65743	19981	266606900	1935632430	84401	1765584	1846524
1789786584	2910	3612112	201	66476	20790	266710152	1936124145	84396	1765588	1846524
1789786614	2940	3611216	201	66285	19333	266766229	1936509416	84385	1764564	1846652
1789786644	2970	3607116	201	66849	20059	266814943	1936981330	84380	1764564	1842552
1789786675	3001	3603252	201	66263	19110	266868593	1937291515	84376	1761672	1841580
1789786705	3031	3603252	201	67472	19046	266972083	1937761743	84370	1761672	1841580
1789786736	3062	3603252	201	67463	18074	267026529	1938186153	84369	1761672	1841580
1789786766	3092	3603252	201	66536	17904	267107087	1938591201	84364	1761672	1841580
1789786797	3123	3603252	201	66983	17786	267185856	1939099639	84365	1761672	1841580
1789786827	3153	3603252	201	67862	18610	267241598	1939533598	84365	1761672	1841580
1789786858	3184	3603352	201	67436	18187	267316730	1940107352	84366	1761684	1841668
1789786888	3214	3603360	201	66839	18777	267392142	1940466613	84371	1761692	1841668
1789786919	3245	3605544	201	66246	16889	267471493	1940956107	84358	1761692	1843852
1789786949	3275	3606984	201	68558	17112	267519917	1941365136	84347	1761820	1845164
1789786979	3305	3603488	201	68570	17423	267598160	1941878507	84343	1761780	1841708
1789787010	3336	3603492	201	68695	16727	267653900	1942285353	84339	1761780	1841712
1789787040	3366	3603492	201	69459	17654	267709095	1942743137	84334	1761780	1841712
1789787071	3397	3603492	201	70023	17204	267811314	1943241561	84327	1761780	1841712
1789787101	3427	3600244	201	69982	16666	267887966	1943723032	84317	1758532	1841712
1789787132	3458	3600760	201	71034	15716	267967431	1944172571	84315	1758532	1842228
1789787162	3488	3607560	201	70933	16912	268024436	1944558164	84381	1765824	1841736
1789787192	3518	3615736	201	71026	17329	268073772	1944981292	84367	1758532	1857204
1789787223	3549	3600192	201	70976	16473	268158591	1945494895	84354	1758456	1841736
1789787253	3579	3600300	201	71497	17420	268256594	1945942338	84340	1758564	1841736
1789787283	3609	3613088	201	71732	17158	268316930	1946428682	84340	1771352	1841736
1789787314	3640	3606720	201	71524	16904	268390367	1946932096	84329	1764984	1841736
1789787344	3670	3606728	201	72276	17128	268474092	1947470968	84316	1764992	1841736
1789787375	3701	3638456	201	71570	16652	268522998	1947806987	84311	1780744	1857712
1789787405	3731	3606740	201	71046	17769	268601598	1948252123	84318	1765004	1841736
1789787436	3762	3648064	201	70334	17550	268655336	1948667179	84328	1765004	1883060
1789787466	3792	3721440	201	69647	16285	268704140	1949101327	84336	1833940	1887500
1789787496	3822	3779656	201	69646	13690	268729015	1949480076	84333	1868672	1910984
1789787527	3853	3805260	201	67926	11069	268729015	1950559743	84364	1874612	1930648
1789787557	3883	3693760	201	66444	12142	268777140	1951296566	84375	1823564	1870196
1789787588	3914	3675288	201	66817	13452	268826324	1951790738	84383	1822472	1852816
1789787618	3944	3676544	201	66294	12876	268928313	1952408336	84388	1822472	1854072
1789787648	3974	3769688	201	66996	13097	268976953	1952876067	84381	1822472	1947216
1789787679	4005	3787648	201	65858	11047	269025812	1953329177	84378	1840432	1947216
1789787709	4035	3764352	201	67494	10430	269074814	1953980003	84360	1831856	1932496
1789787739	4065	3715948	201	67142	13771	269107718	1954602476	84370	1823380	1892568
1789787770	4096	3693520	201	67755	14689	269227382	1955099862	84376	1823388	1870132
1789787800	4126	3688364	201	66848	14588	269281171	1955558418	84373	1823408	1864956
1789787831	4157	3696680	201	66632	15289	269363191	1955990150	84378	1831724	1864956
1789787861	4187	3688328	201	66792	15815	269444049	1956422766	84381	1823352	1864976
1789787891	4217	3719064	201	65599	14853	269501439	1956941235	84377	1854088	1864976
1789787922	4248	3690764	201	66417	17272	269603365	1957402223	84383	1825788	1864976
1789787952	4278	3695540	201	66115	17000	269656667	1957844564	84381	1830564	1864976
1789787982	4308	3729700	201	67368	17138	269759364	1958248713	84374	1864724	1864976
1789788013	4339	3694696	201	65819	17967	269813397	1958755713	84382	1829720	1864976
1789788043	4369	3698860	201	65596	18445	269862137	1959188090	84378	1827908	1870952
1789788074	4400	3734228	201	64547	15417	269950113	1959767945	84370	1867748	1866480
1789788104	4430	3694084	201	64155	17253	269998251	1960233697	84376	1831984	1862100
1789788134	4460	3895048	201	62886	16725	270046324	1960773577	84361	1832132	2062916
1789788165	4491	3897204	201	62068	14560	270107732	1961154608	84349	1832132	2065072
1789788195	4521	3951508	201	62591	14571	270132137	1961442285	84346	1832136	2119372
1789788226	4552	4020560	201	62188	13337	270184684	1961981924	84342	1832140	2188420
1789788256	4582	3994380	201	62370	12455	270208858	1962737333	84317	1832148	2162232
1789788287	4613	3799764	201	60676	12500	270233117	1963296122	84333	1832712	1967052
1789788317	4643	3800204	201	60356	13464	270311473	1963714146	84334	1832712	1967492
1789788347	4673	3799164	201	60846	12136	270384623	1964187663	84317	1832712	1966452
1789788378	4704	3803248	201	61253	13353	270464593	1964588386	84321	1836032	1967216
1789788408	4734	3796200	201	60031	14078	270542157	1965025228	84322	1833052	1963148
1789788439	4765	3795192	201	59090	15360	270620641	1965427344	84335	1833052	1962140
1789788469	4795	3802980	201	58766	16922	270678866	1965841429	84349	1840840	1962140
1789788499	4825	3795192	201	59250	19045	270757174	1966291891	84326	1833052	1962140
1789788530	4856	3795192	201	58928	17879	270830051	1966821622	84323	1833052	1962140
1789788560	4886	3829368	201	60214	18714	270909946	1967290032	84365	1867228	1962140
1789788591	4917	3815892	201	60298	18762	270958314	1967765792	84363	1858348	1957544
1789788621	4947	3793312	201	62004	19377	271043538	1968254347	84361	1837784	1955528
1789788652	4978	3841492	201	61146	19264	271115826	1968592119	84353	1885964	1955528
1789788682	5008	3831248	201	62350	19681	271202440	1969019422	84354	1875720	1955528
1789788713	5039	3798972	201	63225	19797	271275638	1969484009	84346	1843444	1955528
1789788743	5069	3876216	201	63717	17752	271327264	1970008789	84341	1916932	1959284
1789788773	5099	3821440	201	64888	19852	271378658	1970315555	84336	1863164	1958276
1789788804	5130	3824528	201	65470	18344	271483535	1970793397	84334	1866252	1958276
