ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789623920	1085	97.2	96.2	5211	2701	3308	9462	596	0	21582	2702	6814	1255929	39737	40961	1182	40535	30292	1329951	713884	1822	99174	79585	34279
1789623946	1112	96.7	95.5	4242	1962	3013	7341	1177	0	23747	2953	7199	1275765	39977	42056	1180	41910	30898	1354181	730775	1821	101466	81302	35973
1789623977	1142	95.3	94.5	7125	1813	2958	9221	1310	0	14033	3045	7467	1296330	40000	43346	936	43078	31474	1390714	742629	1824	104107	83038	37715
1789624006	1172	97.2	95.2	5861	2412	2829	7535	1260	0	14532	3090	7547	1318593	39925	44408	1005	44358	32218	1420856	762591	1828	106651	84864	38929
1789624041	1207	97.6	97.0	8186	2643	1926	9265	444	0	55443	2916	7726	1353531	40000	45561	824	45200	33022	1469815	783840	1867	109069	87189	40635
1789624071	1237	95.9	95.3	7537	3317	1916	6821	437	0	28224	2728	6870	1380184	40000	46394	855	46053	33813	1501873	807437	1857	111327	88792	41621
1789624099	1265	96.1	95.3	9259	3914	2309	8595	763	0	31136	2967	7114	1406930	40000	47333	966	47046	34636	1532416	830311	1879	113776	90366	42607
1789624126	1292	95.8	94.9	6996	1382	2795	6761	665	0	3464	2941	7380	1425135	39969	48514	1100	48165	35389	1554468	848746	1862	116463	91609	44580
1789624158	1324	94.6	93.8	4457	1887	3320	9994	1036	0	19439	3094	7939	1443284	39594	49987	1147	49485	36290	1575909	873150	1880	120222	93486	47494
1789624192	1358	95.2	94.1	7921	1600	2944	9100	935	0	26599	3173	10796	1463454	40000	50000	1133	50983	37022	1599697	885800	1829	123606	96171	49300
1789624219	1384	92.3	91.6	4777	2982	3099	10352	1178	0	10831	2741	6890	1476620	40000	49995	1006	52026	37791	1625620	895427	1823	125614	97529	50351
1789624247	1413	95.0	93.4	6351	1770	3339	7736	1063	0	14171	2985	7963	1492604	39878	49999	1345	53285	38348	1644628	910978	1822	128605	99406	52837
1789624279	1445	93.5	92.6	5521	1930	2744	10169	860	0	23869	2736	7332	1513745	40000	50000	1189	54292	38975	1671382	928473	1837	131935	101722	54651
1789624308	1474	94.9	94.2	4693	3564	3100	8066	1581	0	14002	2850	6835	1535990	40000	50000	943	55128	39686	1706382	943871	1828	134671	103296	55837
1789624337	1503	94.5	93.8	6523	3511	3213	9940	1466	0	7734	2743	6876	1558875	39727	50000	975	55812	40417	1738175	960844	1822	136939	104613	57348
